,0,1
0,/data,"{""sample_key"":""65997_0"",""timestamp0"":65997,""timestamp"":0,""stroke_id"":12,""segment_id"":26,""x"":0.220017817982456,""y"":0.398193359375,""p"":0.015909090909091,""x_"":0,""y_"":0,""p_"":0,""x0"":0,""y0"":0,""p0"":0,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
1,/data,"{""sample_key"":""66010_10"",""timestamp0"":66010,""timestamp"":10,""stroke_id"":12,""segment_id"":26,""x"":0.220017817982456,""y"":0.398193359375,""p"":0.014335664335664078,""x_"":0,""y_"":0,""p_"":-0.0015734265734269233,""x0"":0,""y0"":0,""p0"":-5.358109920422783e-7,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
2,/data,"{""sample_key"":""66023_20"",""timestamp0"":66023,""timestamp"":20,""stroke_id"":12,""segment_id"":26,""x"":0.21962113065114677,""y"":0.39852201021634615,""p"":0.014475524475524307,""x_"":-0.0003966873313092367,""y_"":0.0003286508413461453,""p_"":-0.0014335664335666937,""x0"":-1.3508697266785914e-7,""y0"":1.1191798607651144e-7,""p0"":-0.000005620949810803323,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
3,/data,"{""sample_key"":""66040_30"",""timestamp0"":66040,""timestamp"":30,""stroke_id"":12,""segment_id"":26,""x"":0.21879736680856518,""y"":0.39924890854779416,""p"":0.016002673796791527,""x_"":-0.0012204511738908297,""y_"":0.0010555491727941568,""p_"":0.00009358288770052597,""x0"":-0.000001709666424792012,""y0"":0.000001431565288014474,""p0"":-0.00002802224375819945,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
4,/data,"{""sample_key"":""66040_40"",""timestamp0"":66040,""timestamp"":40,""stroke_id"":12,""segment_id"":26,""x"":0.2175880014834881,""y"":0.40036190257352944,""p"":0.01850935828877035,""x_"":-0.002429816498967896,""y_"":0.002168543198529438,""p_"":0.0026002673796793503,""x0"":-0.000010702633342872916,""y0"":0.000009064853802514505,""p0"":-0.00008811950449332673,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
5,/data,"{""sample_key"":""66053_50"",""timestamp0"":66053,""timestamp"":50,""stroke_id"":12,""segment_id"":26,""x"":0.21582294829622123,""y"":0.402618408203125,""p"":0.022106643356643765,""x_"":-0.004194869686234781,""y_"":0.004425048828125,""p_"":0.006197552447552764,""x0"":-0.000044634766112497904,""y0"":0.000038469913614804226,""p0"":-0.00019330385947113093,""x1"":-0.000009983707859520086,""y1"":0.000008589276304604646,""s"":0.0013170045180677474,""angle"":2.43113238568309,""dangle"":0.48622647713661804}"
6,/data,"{""sample_key"":""66070_60"",""timestamp0"":66070,""timestamp"":60,""stroke_id"":12,""segment_id"":26,""x"":0.21421790344427236,""y"":0.4051352108226103,""p"":0.025120320855615233,""x_"":-0.005799914538183654,""y_"":0.006941851447610281,""p_"":0.009211229946524232,""x0"":-0.00014064840904283744,""y0"":0.00012458102695947265,""p0"":-0.00029939956168653116,""x1"":-0.000032395174382804506,""y1"":0.000028597656627358204,""s"":0.004321195769539489,""angle"":2.418375930587294,""dangle"":0.7267884246857679}"
7,/data,"{""sample_key"":""66070_70"",""timestamp0"":66070,""timestamp"":70,""stroke_id"":12,""segment_id"":26,""x"":0.21321009900670823,""y"":0.40730734432444854,""p"":0.02655748663101582,""x_"":-0.0068077189757477785,""y_"":0.00911398494944854,""p_"":0.01064839572192482,""x0"":-0.0003589722557512332,""y0"":0.0003304333805720496,""p0"":-0.00027959904830437185,""x1"":-0.0000844470954352847,""y1"":0.00007735198037250284,""s"":0.011451917217219196,""angle"":2.400017808892887,""dangle"":0.7218411548373068}"
8,/data,"{""sample_key"":""66083_80"",""timestamp0"":66083,""timestamp"":80,""stroke_id"":12,""segment_id"":26,""x"":0.21227121288798917,""y"":0.4111468975360577,""p"":0.02665209790209754,""x_"":-0.007746605094466841,""y_"":0.01295353816105771,""p_"":0.010743006993006537,""x0"":-0.0007745722934880125,""y0"":0.0007488681817630112,""p0"":0.0000648296410707988,""x1"":-0.00018420768099290145,""y1"":0.0001771570122878239,""s"":0.02555720578223111,""angle"":2.3757032422614444,""dangle"":0.47202919077326855}"
9,/data,"{""sample_key"":""66096_90"",""timestamp0"":66096,""timestamp"":90,""stroke_id"":12,""segment_id"":26,""x"":0.21187847925101191,""y"":0.41607666015625,""p"":0.026660839160838768,""x_"":-0.008139338731444096,""y_"":0.01788330078125,""p_"":0.010751748251747767,""x0"":-0.001453789747933698,""y0"":0.0014920574075704268,""p0"":0.0009364702260091112,""x1"":-0.0003452233848087576,""y1"":0.0003531462142714784,""s"":0.0493853656535104,""angle"":2.344850225491991,""dangle"":-0.02152370087080485}"
10,/data,"{""sample_key"":""66109_100"",""timestamp0"":66109,""timestamp"":100,""stroke_id"":12,""segment_id"":26,""x"":0.21238718792172762,""y"":0.4216871995192308,""p"":0.027425699300698846,""x_"":-0.007630630060728394,""y_"":0.023493840144230782,""p_"":0.011516608391607844,""x0"":-0.0024221487378250947,""y0"":0.0026731309208091274,""p0"":0.002439127125145415,""x1"":-0.000565781814974698,""y1"":0.0006258723814697687,""s"":0.08436973983856434,""angle"":2.3058109884282114,""dangle"":-0.028029746771906172}"
11,/data,"{""sample_key"":""66109_110"",""timestamp0"":66109,""timestamp"":110,""stroke_id"":12,""segment_id"":26,""x"":0.21403456056005377,""y"":0.4283541165865385,""p"":0.02838723776223731,""x_"":-0.005983257422402244,""y_"":0.03016075721153849,""p_"":0.01247814685314631,""x0"":-0.0036369413928007154,""y0"":0.004392587163998965,""p0"":0.004496898059858565,""x1"":-0.0008203514718436046,""y1"":0.0010048570305899948,""s"":0.12971947383805216,""angle"":2.2554493329497114,""dangle"":-0.03590292057195843}"
