,0,1
0,/data,"{""sample_key"":""2428582_0"",""timestamp0"":2428582,""timestamp"":0,""stroke_id"":36,""x"":0.503477933114035,""y"":0.503477933114035,""p"":0.503477933114035,""rel_xyp"":[0,0,0],""rel_xyp_lp"":[0,0,0],""dx_dy"":[0,0],""s"":0,""angle"":0,""dangle"":0,""segment_id"":0}"
1,/data,"{""sample_key"":""2428598_10"",""timestamp0"":2428598,""timestamp"":10,""stroke_id"":36,""x"":0.503477933114035,""y"":0.503477933114035,""p"":0.503477933114035,""rel_xyp"":[0,0,-0.0027698863636362522],""rel_xyp_lp"":[0,0,-9.432506005741797e-7],""dx_dy"":[0,0],""s"":0,""angle"":0,""dangle"":0,""segment_id"":0}"
2,/data,"{""sample_key"":""2428612_20"",""timestamp0"":2428612,""timestamp"":20,""stroke_id"":36,""x"":0.5040751292293233,""y"":0.5040751292293233,""p"":0.5040751292293233,""rel_xyp"":[0.000597196115288301,0.0013166155133928492,-0.0053896103896102915],""rel_xyp_lp"":[2.0336776331385682e-7,4.483571564657068e-7,-0.000010871172897840994],""dx_dy"":[0,0],""s"":0,""angle"":0,""dangle"":0,""segment_id"":0}"
3,/data,"{""sample_key"":""2428612_30"",""timestamp0"":2428612,""timestamp"":30,""stroke_id"":36,""x"":0.505568119517544,""y"":0.505568119517544,""p"":0.505568119517544,""rel_xyp"":[0.002090186403508998,0.004608154296875,-0.007784090909091004],""rel_xyp_lp"":[0.0000026599354003460217,0.000005864258194358399,-0.00006138684004876877],""dx_dy"":[0,0],""s"":0,""angle"":0,""dangle"":0,""segment_id"":0}"
4,/data,"{""sample_key"":""2428655_40"",""timestamp0"":2428655,""timestamp"":40,""stroke_id"":36,""x"":0.5061896770450838,""y"":0.5061896770450838,""p"":0.5061896770450838,""rel_xyp"":[0.0027117439310487823,0.0056869151980377675,-0.008563689217758914],""rel_xyp_lp"":[0.00001661496524079421,0.000036531092312905136,-0.00022811387917868304],""dx_dy"":[0,0],""s"":0,""angle"":0,""dangle"":0,""segment_id"":0}"
5,/data,"{""sample_key"":""2428655_50"",""timestamp0"":2428655,""timestamp"":50,""stroke_id"":36,""x"":0.5068112345726234,""y"":0.5068112345726234,""p"":0.5068112345726234,""rel_xyp"":[0.0033333014585884557,0.006765676099200646,-0.009343287526426818],""rel_xyp_lp"":[0.00006685028400463577,0.00014623257101973493,-0.0006320419988674487],""dx_dy"":[0.00001501121654867519,0.00003285478771959093],""s"":0.003612165137934038,""angle"":1.1422226191184552,""dangle"":0.22844452382369104,""segment_id"":0}"
6,/data,"{""sample_key"":""2428655_60"",""timestamp0"":2428655,""timestamp"":60,""stroke_id"":36,""x"":0.5074327921001632,""y"":0.5074327921001632,""p"":0.5074327921001632,""rel_xyp"":[0.00395485898612824,0.007844437000363413,-0.01012288583509472],""rel_xyp_lp"":[0.00019725643049704772,0.00042835164105252085,-0.0014019974847188721],""dx_dy"":[0.000045829647407175745,0.00009961748806174868],""s"":0.01096540036168251,""angle"":1.1396111657004324,""dangle"":0.342144495051932,""segment_id"":0}"
7,/data,"{""sample_key"":""2428655_70"",""timestamp0"":2428655,""timestamp"":70,""stroke_id"":36,""x"":0.508054349627703,""y"":0.508054349627703,""p"":0.508054349627703,""rel_xyp"":[0.004576416513668025,0.00892319790152618,-0.01090248414376263],""rel_xyp_lp"":[0.0004607302275378134,0.0009912371896709268,-0.0026089982838781453],""dx_dy"":[0.00010967820495311882,0.00023625664116927526],""s"":0.026047362465003256,""angle"":1.1361692152895058,""dangle"":0.3411949596279444,""segment_id"":0}"
8,/data,"{""sample_key"":""2428668_80"",""timestamp0"":2428668,""timestamp"":80,""stroke_id"":36,""x"":0.5177982139844806,""y"":0.5177982139844806,""p"":0.5177982139844806,""rel_xyp"":[0.014320280870445568,0.016838660606971145,-0.020039335664335085],""rel_xyp_lp"":[0.0009001732922699031,0.001910996640776685,-0.004214951669938712],""dx_dy"":[0.00021609965975913955,0.00045939357155787514],""s"":0.05076824957950751,""angle"":1.1311062164199905,""dangle"":0.22561590290110317,""segment_id"":0}"
9,/data,"{""sample_key"":""2428681_90"",""timestamp0"":2428681,""timestamp"":90,""stroke_id"":36,""x"":0.5280989056174089,""y"":0.5280989056174089,""p"":0.5280989056174089,""rel_xyp"":[0.024620972503373917,0.02424738957331729,-0.028159965034964467],""rel_xyp_lp"":[0.0015480858947874991,0.0032029465666930687,-0.006085229604367942],""dx_dy"":[0.00036653880833385826,0.0007596072991070832],""s"":0.08434180143152994,""angle"":1.121216268877321,""dangle"":-0.005051764976270995,""segment_id"":0}"
