,0,1
0,/data,"{""sample_key"":""12540_0"",""timestamp0"":12540,""timestamp"":0,""stroke_id"":1,""segment_id"":0,""x"":0.501302083333333,""y"":0.50372314453125,""p"":0.025795454545455,""x_"":0,""y_"":0,""p_"":0,""x0"":0,""y0"":0,""p0"":0,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
1,/data,"{""sample_key"":""12557_10"",""timestamp0"":12557,""timestamp"":10,""stroke_id"":1,""segment_id"":0,""x"":0.501302083333333,""y"":0.50372314453125,""p"":0.025026737967914412,""x_"":0,""y_"":0,""p_"":-0.0007687165775405874,""x0"":0,""y0"":0,""p0"":-2.6177693892272176e-7,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
2,/data,"{""sample_key"":""12570_20"",""timestamp0"":12570,""timestamp"":20,""stroke_id"":1,""segment_id"":0,""x"":0.5013969719973008,""y"":0.5042161207932693,""p"":0.02463286713286677,""x_"":0.00009488866396778484,""y_"":0.0004929762620192735,""p_"":-0.0011625874125882306,""x0"":3.231316289733841e-8,""y0"":1.6787697911478606e-7,""p0"":-0.0000029035799066817025,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
3,/data,"{""sample_key"":""12570_30"",""timestamp0"":12570,""timestamp"":30,""stroke_id"":1,""segment_id"":0,""x"":0.50171326754386,""y"":0.505859375,""p"":0.025113636363636,""x_"":0.0004111842105269936,""y_"":0.00213623046875,""p_"":-0.0006818181818189981,""x0"":4.4956554299134915e-7,""y0"":0.0000023356334850682433,""p0"":-0.000015446133967079052,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
4,/data,"{""sample_key"":""12586_40"",""timestamp0"":12586,""timestamp"":40,""stroke_id"":1,""segment_id"":0,""x"":0.5022272478070176,""y"":0.5076332092285156,""p"":0.02468749999999975,""x_"":0.0009251644736845144,""y_"":0.003910064697265625,""p_"":-0.0011079545454552482,""x0"":0.0000030662341318385594,""y0"":0.000015624768220664384,""p0"":-0.00005310238776538082,""x1"":0,""y1"":0,""s"":0,""angle"":0,""dangle"":0}"
5,/data,"{""sample_key"":""12612_50"",""timestamp0"":12612,""timestamp"":50,""stroke_id"":1,""segment_id"":0,""x"":0.5027649502361671,""y"":0.5092843862680289,""p"":0.024361888111888,""x_"":0.0014628669028340369,""y_"":0.005561241736778855,""p_"":-0.001433566433566999,""x0"":0.000013726991782511864,""y0"":0.00006769734643590434,""p0"":-0.00013450682606799846,""x1"":0.0000030487904533964948,""y1"":0.000015085158411335827,""s"":0.001539016333648924,""angle"":1.3713772628518859,""dangle"":0.27427545257037717}"
6,/data,"{""sample_key"":""12612_60"",""timestamp0"":12612,""timestamp"":60,""stroke_id"":1,""segment_id"":0,""x"":0.5033382359143047,""y"":0.5107515775240384,""p"":0.024187062937063,""x_"":0.002036152580971673,""y_"":0.007028432992788436,""p_"":-0.0016083916083920007,""x0"":0.00004562794309385241,""y0"":0.0002158722967975904,""p0"":-0.00027179542882490573,""x1"":0.000010446868610143066,""y1"":0.00004967705525877873,""s"":0.005076363740849693,""angle"":1.3635209871878229,""dangle"":0.4098419237227532}"
7,/data,"{""sample_key"":""12612_70"",""timestamp0"":12612,""timestamp"":70,""stroke_id"":1,""segment_id"":0,""x"":0.5039115215924425,""y"":0.512218768780048,""p"":0.024012237762238,""x_"":0.00260943825910942,""y_"":0.008495624248798017,""p_"":-0.0017832167832169989,""x0"":0.0001208731630927911,""y0"":0.0005456286380975176,""p0"":-0.0004632573296643629,""x1"":0.000028340890406161335,""y1"":0.00012868335378018246,""s"":0.013176726304029256,""angle"":1.3540195694935768,""dangle"":0.4071560126174977}"
8,/data,"{""sample_key"":""12625_80"",""timestamp0"":12625,""timestamp"":80,""stroke_id"":1,""segment_id"":0,""x"":0.5054811382422398,""y"":0.515423114483173,""p"":0.02198426573426562,""x_"":0.0041790549089067985,""y_"":0.011699969951923017,""p_"":-0.0038111888111893796,""x0"":0.0002678998910870038,""y0"":0.0011493747580647038,""p0"":-0.0006947794459771827,""x1"":0.00006368134852206097,""y1"":0.0002745431271349692,""s"":0.02818319407140292,""angle"":1.3428730027120097,""dangle"":0.26683883120657104}"
9,/data,"{""sample_key"":""12646_90"",""timestamp0"":12646,""timestamp"":90,""stroke_id"":1,""segment_id"":0,""x"":0.5068432800751876,""y"":0.5176275344122024,""p"":0.02029220779220743,""x_"":0.005541196741854604,""y_"":0.013904389880952439,""p_"":-0.005503246753247568,""x0"":0.0005160388168228042,""y0"":0.002095090329554408,""p0"":-0.0009505426049467806,""x1"":0.00012268955980737362,""y1"":0.0004988288427504121,""s"":0.051369537903843604,""angle"":1.3296281196036666,""dangle"":-0.010414627097225126}"
10,/data,"{""sample_key"":""12646_100"",""timestamp0"":12646,""timestamp"":100,""stroke_id"":1,""segment_id"":0,""x"":0.5077488643483711,""y"":0.5183977399553572,""p"":0.019399350649350285,""x_"":0.006446781015038039,""y_"":0.014674595424107206,""p_"":-0.006396103896104715,""x0"":0.0008917064824345415,""y0"":0.0034046003647317524,""p0"":-0.0012306135074361272,""x1"":0.00020873227324113913,""y1"":0.0007926917827325215,""s"":0.08197130133797295,""angle"":1.313320217686546,""dangle"":-0.01247929888924637}"
11,/data,"{""sample_key"":""12658_110"",""timestamp0"":12658,""timestamp"":110,""stroke_id"":1,""segment_id"":0,""x"":0.5096228527046787,""y"":0.5192159016927083,""p"":0.01785984848484833,""x_"":0.008320769371345627,""y_"":0.01549275716145826,""p_"":-0.00793560606060667,""x0"":0.0014179906643297265,""y0"":0.0050502834797560925,""p0"":-0.0015673047741015668,""x1"":0.0003218041593821408,""y1"":0.0011264535289984199,""s"":0.11715184462861182,""angle"":1.2925292565332258,""dangle"":-0.015253341094616568}"
12,/data,"{""sample_key"":""12679_120"",""timestamp0"":12679,""timestamp"":120,""stroke_id"":1,""segment_id"":0,""x"":0.5125468293128658,""y"":0.5199018205915178,""p"":0.015700757575757857,""x_"":0.011244745979532733,""y_"":0.016178676060267794,""p_"":-0.010094696969697142,""x0"":0.002114730311417042,""y0"":0.0069603919470628255,""p0"":-0.0020262532912698685,""x1"":0.00045956126881669984,""y1"":0.0014577227528197929,""s"":0.1528447638581358,""angle"":1.2653992430083438,""dangle"":-0.019204638247777295}"
