,0,1
0,/data,"{""sample_key"":""20478_50"",""timestamp0"":20478,""timestamp"":50,""stroke_id"":2,""xyp"":[0.5760272752192985,0.82302978515625,0.02113409090909108],""rel_xyp"":[0.021185581140351517,0.0038159179687500266,0.003520454545455083],""rel_xyp_lp"":[0.0007053904680487589,0.00022388735385500222,0.000038170843123663485],""xyp_sg"":[0.000245689443545,0.000073838054959,0.000020176592443],""s"":0.025654504678434165,""angle"":0.2919467192973479,""da"":0,""segment_id"":2}"
1,/data,"{""sample_key"":""20491_60"",""timestamp0"":20491,""timestamp"":60,""stroke_id"":2,""xyp"":[0.5961459387651824,0.8204815204326923,0.020642482517482387],""rel_xyp"":[0.04130424468623539,0.0012676532451922906,0.0030288461538463887],""rel_xyp_lp"":[0.0017503207752978798,0.0005154812045934231,0.00016220531930209167],""xyp_sg"":[0.000541153247468,0.000148837221786,0.000059607424191],""s"":0.05612480341472363,""angle"":0.2684007054979415,""da"":0,""segment_id"":2}"
2,/data,"{""sample_key"":""20504_70"",""timestamp0"":20504,""timestamp"":70,""stroke_id"":2,""xyp"":[0.6131652749662619,0.8168288010817307,0.02037150349650331],""rel_xyp"":[0.05832358088731493,-0.0023850661057692735,0.0027578671328673116],""rel_xyp_lp"":[0.0036732073325576394,0.0009798300467018458,0.0004332593956196511],""xyp_sg"":[0.001042655436322,0.000252229365287,0.000131959430291],""s"":0.10727301671925253,""angle"":0.23735070551045812,""da"":0,""segment_id"":2}"
3,/data,"{""sample_key"":""20517_80"",""timestamp0"":20517,""timestamp"":80,""stroke_id"":2,""xyp"":[0.6271415844298245,0.8118192232572116,0.020380244755244768],""rel_xyp"":[0.07229989035087747,-0.007394643930288436,0.00276660839160877],""rel_xyp_lp"":[0.006819766257683877,0.0015710893692603227,0.0008851616665502247],""xyp_sg"":[0.001812934875488,0.000359753175871,0.000237579297391],""s"":0.1848284396490421,""angle"":0.19589212790375787,""da"":0,""segment_id"":2}"
4,/data,"{""sample_key"":""20517_90"",""timestamp0"":20517,""timestamp"":90,""stroke_id"":2,""xyp"":[0.641533031798246,0.80487060546875,0.020511363636364],""rel_xyp"":[0.08669133771929893,-0.01434326171875,0.0028977272727280026],""rel_xyp_lp"":[0.011590906446283529,0.002129270206518289,0.0014922601680589336],""xyp_sg"":[0.002908183727413,0.000419450661866,0.00036151355016],""s"":0.29382769525913643,""angle"":0.14324331456222186,""da"":0,""segment_id"":2}"
5,/data,"{""sample_key"":""20545_100"",""timestamp0"":20545,""timestamp"":100,""stroke_id"":2,""xyp"":[0.6483983395989977,0.8001621791294643,0.020876623376623642],""rel_xyp"":[0.09355664552005072,-0.0190516880580357,0.003262987012987644],""rel_xyp_lp"":[0.018423601018404012,0.0023697790979024767,0.0021641264823886557],""xyp_sg"":[0.004361086059362,0.000355456577381,0.000474115891848],""s"":0.4375548079448447,""angle"":0.08132666048689607,""da"":-0.04682554809703272,""segment_id"":2}"
6,/data,"{""sample_key"":""20545_110"",""timestamp0"":20545,""timestamp"":110,""stroke_id"":2,""xyp"":[0.6552636473997495,0.7954537527901785,0.021241883116883284],""rel_xyp"":[0.1004219533208025,-0.023760114397321508,0.0036282467532472856],""rel_xyp_lp"":[0.027654109283429946,0.0019221368372976028,0.0027756378331691275],""xyp_sg"":[0.006149918306619,0.000085532890807,0.00054035813082],""s"":0.6150513072378377,""angle"":0.013907075225907626,""da"":-0.056145272798596275,""segment_id"":2}"
7,/data,"{""sample_key"":""20558_120"",""timestamp0"":20558,""timestamp"":120,""stroke_id"":2,""xyp"":[0.666770780617409,0.7846397986778846,0.02120192307692315],""rel_xyp"":[0.11192908653846201,-0.03457406850961542,0.003588286713287151],""rel_xyp_lp"":[0.03929434557617696,0.00041935375207505633,0.0032176404314167542],""xyp_sg"":[0.008164127357304,-0.000452160893474,0.000534610298928],""s"":0.817663897820289,""angle"":-0.05532733720010917,""da"":-0.06317751695440484,""segment_id"":2}"
8,/data,"{""sample_key"":""20558_130"",""timestamp0"":20558,""timestamp"":130,""stroke_id"":2,""xyp"":[0.696845215502699,0.7494037334735577,0.019541083916083918],""rel_xyp"":[0.14200352142375194,-0.06981013371394229,0.0019274475524479195],""rel_xyp_lp"":[0.052867606041369655,-0.0024034701686545474,0.003440177395201146],""xyp_sg"":[0.010192488320172,-0.001279125572182,0.000453054555692],""s"":1.0272437898875444,""angle"":-0.12484420883734142,""da"":-0.06728290444861318,""segment_id"":2}"
9,/data,"{""sample_key"":""20579_140"",""timestamp0"":20579,""timestamp"":140,""stroke_id"":2,""xyp"":[0.7064903469611526,0.7335205078125,0.01961850649350657],""rel_xyp"":[0.15164865288220564,-0.085693359375,0.0020048701298705715],""rel_xyp_lp"":[0.06747494450044869,-0.00669544693323665,0.003463887950032047],""xyp_sg"":[0.011962123215199,-0.002382114296779,0.000316105782986],""s"":1.219700210455511,""angle"":-0.19656665719215385,""da"":-0.06945379194213488,""segment_id"":2}"
10,/data,"{""sample_key"":""20579_150"",""timestamp0"":20579,""timestamp"":150,""stroke_id"":2,""xyp"":[0.7138655558166246,0.71978759765625,0.01988906926406943],""rel_xyp"":[0.15902386173767757,-0.09942626953125,0.00227543290043343],""rel_xyp_lp"":[0.08213199815591579,-0.012618443106007021,0.003354560023507856],""xyp_sg"":[0.013228547759354,-0.003744371235371,0.000159142335178],""s"":1.3748265045807906,""angle"":-0.27583687673098206,""da"":-0.0720727223905824,""segment_id"":2}"
11,/data,"{""sample_key"":""20591_160"",""timestamp0"":20591,""timestamp"":160,""stroke_id"":2,""xyp"":[0.7285327576754383,0.6812947591145833,0.020208333333333335],""rel_xyp"":[0.17369106359649134,-0.13791910807291674,0.002594696969697337],""rel_xyp_lp"":[0.09617791735408832,-0.020512365661759534,0.003181424809091658],""xyp_sg"":[0.013873747549951,-0.005378277506679,0.000017303824279],""s"":1.4879742605926376,""angle"":-0.36982217289655384,""da"":-0.07799823392865299,""segment_id"":2}"
12,/data,"{""sample_key"":""20612_170"",""timestamp0"":20612,""timestamp"":170,""stroke_id"":2,""xyp"":[0.737360980576441,0.6531154087611608,0.020243506493506428],""rel_xyp"":[0.18251928649749394,-0.1660984584263392,0.00262987012987043],""rel_xyp_lp"":[0.10946524127104934,-0.030915649786491337,0.0029898232607120647],""xyp_sg"":[0.013953902758658,-0.00733355851844,-0.000086865555204],""s"":1.5763644335668934,""angle"":-0.4838828339930083,""da"":-0.08913327660157339,""segment_id"":2}"
13,/data,"{""sample_key"":""20612_180"",""timestamp0"":20612,""timestamp"":180,""stroke_id"":2,""xyp"":[0.741081218671679,0.6359383719308036,0.020081168831168807],""rel_xyp"":[0.18623952459273196,-0.1832754952566964,0.002467532467532809],""rel_xyp_lp"":[0.12223135445751807,-0.04441343740307893,0.0028012858080460248],""xyp_sg"":[0.013665188103914,-0.009671927429736,-0.00014729234681],""s"":1.6741670947711056,""angle"":-0.6159274326349038,""da"":-0.10467675081475261,""segment_id"":2}"
14,/data,"{""sample_key"":""20625_190"",""timestamp0"":20625,""timestamp"":190,""stroke_id"":2,""xyp"":[0.7448918269230769,0.6053302471454326,0.020633741258741154],""rel_xyp"":[0.19005013284412986,-0.2138836200420674,0.003020104895105156],""rel_xyp_lp"":[0.1347939988523891,-0.06143039851953299,0.002628762651166391],""xyp_sg"":[0.013240979984403,-0.012414338067174,-0.00016990036238],""s"":1.8150463922265083,""angle"":-0.7531882324556268,""da"":-0.12008079711876396,""segment_id"":2}"
15,/data,"{""sample_key"":""20646_200"",""timestamp0"":20646,""timestamp"":200,""stroke_id"":2,""xyp"":[0.747795595760234,0.5668000720796131,0.021837121212121],""rel_xyp"":[0.192953901681287,-0.25241379510788686,0.004223484848485001],""rel_xyp_lp"":[0.14726494019836367,-0.08205427374014415,0.002488728439015476],""xyp_sg"":[0.012832539156079,-0.015485052019358,-0.000164144454175],""s"":2.0111213221348034,""angle"":-0.8787957844182892,""da"":-0.12872526215060892,""segment_id"":2}"
16,/data,"{""sample_key"":""20646_210"",""timestamp0"":20646,""timestamp"":210,""stroke_id"":2,""xyp"":[0.7467105263157893,0.5503060477120536,0.022784090909091],""rel_xyp"":[0.19186883223684226,-0.2689078194754464,0.005170454545455002],""rel_xyp_lp"":[0.15940141402631272,-0.10594607478341907,0.00240469609159995],""xyp_sg"":[0.012438567355275,-0.018691057339311,-0.000135889145895],""s"":2.245158306919858,""angle"":-0.9836141351837473,""da"":-0.12623309541648634,""segment_id"":2}"
17,/data,"{""sample_key"":""20659_220"",""timestamp0"":20659,""timestamp"":220,""stroke_id"":2,""xyp"":[0.7449168669871791,0.53167724609375,0.023548951048951387],""rel_xyp"":[0.19007517290823206,-0.28753662109375,0.005935314685315388],""rel_xyp_lp"":[0.17063591474265152,-0.13239501627494782,0.0024073968514326458],""xyp_sg"":[0.011920131742954,-0.021756168454885,-0.00008502665878],""s"":2.4807668302496966,""angle"":-1.0695694085343632,""da"":-0.11377098545270391,""segment_id"":2}"
18,/data,"{""sample_key"":""20659_230"",""timestamp0"":20659,""timestamp"":230,""stroke_id"":2,""xyp"":[0.7367458987010799,0.49383544921875,0.022674825174825233],""rel_xyp"":[0.18190420462213286,-0.32537841796875,0.005061188811189235],""rel_xyp_lp"":[0.18024763769933042,-0.16048027556515965,0.002533521930034693],""xyp_sg"":[0.011082647368312,-0.024389551952481,-0.000008080549378],""s"":2.6789462800383337,""angle"":-1.1442882000959458,""da"":-0.09729735593967118,""segment_id"":2}"
19,/data,"{""sample_key"":""20679_240"",""timestamp0"":20679,""timestamp"":240,""stroke_id"":2,""xyp"":[0.73034882127193,0.47607421875,0.0224090909090908],""rel_xyp"":[0.175507127192983,-0.3431396484375,0.0047954545454548005],""rel_xyp_lp"":[0.1875766451650959,-0.18923575857307687,0.002816471863390942],""xyp_sg"":[0.009772574529052,-0.026356199756265,0.000096166251751],""s"":2.810965098534699,""angle"":-1.2157230745732135,""da"":-0.08345286452220471,""segment_id"":2}"
20,/data,"{""sample_key"":""20679_250"",""timestamp0"":20679,""timestamp"":250,""stroke_id"":2,""xyp"":[0.7243952165570176,0.4633331298828125,0.0222954545454543],""rel_xyp"":[0.16955352247807054,-0.3558807373046875,0.004681818181818301],""rel_xyp_lp"":[0.1921814858890863,-0.21778919807701824,0.003264876736685381],""xyp_sg"":[0.00794299133122,-0.027528304606676,0.000220809932216],""s"":2.8651329215339647,""angle"":-1.28988703057097,""da"":-0.07586994568132954,""segment_id"":2}"
21,/data,"{""sample_key"":""20693_260"",""timestamp0"":20693,""timestamp"":260,""stroke_id"":2,""xyp"":[0.7089109492481203,0.4410618373325892,0.02350649350649328],""rel_xyp"":[0.15406925516917325,-0.3781520298549108,0.005892857142857283],""rel_xyp_lp"":[0.19389924601561953,-0.2454761154737506,0.0038398090080657946],""xyp_sg"":[0.005668425001204,-0.027901953086257,0.000347923400113],""s"":2.8471916479611297,""angle"":-1.3703688337760367,""da"":-0.07471976809583711,""segment_id"":2}"
22,/data,"{""sample_key"":""20713_270"",""timestamp0"":20713,""timestamp"":270,""stroke_id"":2,""xyp"":[0.694346217105263,0.423065185546875,0.0249999999999998],""rel_xyp"":[0.139504523026316,-0.396148681640625,0.007386363636363802],""rel_xyp_lp"":[0.1928199004245929,-0.27187393556293127,0.004453254725525972],""xyp_sg"":[0.003112596925348,-0.027573872357607,0.000451587635325],""s"":2.7748994511752842,""angle"":-1.4583900448692433,""da"":-0.07828494487494181,""segment_id"":2}"
